,date,month,day,hour,min,disk,cpu_1,cpu_2,cpu_3,cpu_4,year,timestamp,time_diff,average
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 08:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 12:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 11:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 11:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 10:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 10:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 09:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 01:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 02:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 02:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 03:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 03:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 04:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 04:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 05:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 05:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 06:24:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 06:54:00,0 days 00:30:00,10.275
